"UniprotAC","GeneName","DrugID","DrugName","InChI","Indication","Source"
"P00918","CA2","DB01031","Ethinamate","InChI=1S/C9H13NO2/c1-2-9(12-8(10)11)6-4-3-5-7-9/h1H,3-7H2,(H2,10,11)","Used for the short-term treatment of insomnia, however, it generally has been replaced by other sedative-hypnotic agents.","DrugBank"
"P00918","CA2","DB02292","Irosustat","InChI=1S/C14H15NO5S/c15-21(17,18)20-9-6-7-11-10-4-2-1-3-5-12(10)14(16)19-13(11)8-9/h6-8H,1-5H2,(H2,15,17,18)",NA,"DrugBank"
"P00918","CA2","DB03594","1,2,4-Triazole","InChI=1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)",NA,"DrugBank"
"P00918","CA2","DB00819","Acetazolamide","InChI=1S/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)","For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies; chronic simple (open-angle) glaucoma","DrugBank"
"P00918","CA2","DB04394","3-Nitro-4-(2-Oxo-Pyrrolidin-1-Yl)-Benzenesulfonamide","InChI=1S/C10H11N3O5S/c11-19(17,18)7-3-4-8(9(6-7)13(15)16)12-5-1-2-10(12)14/h3-4,6H,1-2,5H2,(H2,11,17,18)",NA,"DrugBank"
"P00918","CA2","DB08645","6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE","InChI=1S/C8H8Cl3N3O4S2/c9-3-1-4-6(2-5(3)19(12,15)16)20(17,18)14-8(13-4)7(10)11/h1-2,7-8,13-14H,(H2,12,15,16)/t8-/m1/s1",NA,"DrugBank"
"P00918","CA2","DB00703","Methazolamide","InChI=1S/C5H8N4O3S2/c1-3(10)7-4-9(2)8-5(13-4)14(6,11)12/h1-2H3,(H2,6,11,12)/b7-4+","For treatment of chronic open-angle glaucoma and acute angle-closure glaucoma","DrugBank"
"P00918","CA2","DB04601","4-[(4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE","InChI=1S/C16H14N6O3S/c17-9-13-1-5-15(6-2-13)22(21-11-19-20-12-21)10-14-3-7-16(8-4-14)25-26(18,23)24/h1-8,11-12H,10H2,(H2,18,23,24)",NA,"DrugBank"
"P00918","CA2","DB07467","(S)-Indapamide","InChI=1S/C16H16ClN3O3S/c1-10-8-11-4-2-3-5-14(11)20(10)19-16(21)12-6-7-13(17)15(9-12)24(18,22)23/h2-7,9-10H,8H2,1H3,(H,19,21)(H2,18,22,23)/t10-/m0/s1",NA,"DrugBank"
"P00918","CA2","DB06954","2-(cycloheptylmethyl)-1,1-dioxido-1-benzothiophen-6-yl sulfamate","InChI=1S/C16H21NO5S2/c17-24(20,21)22-14-8-7-13-10-15(23(18,19)16(13)11-14)9-12-5-3-1-2-4-6-12/h7-8,10-12H,1-6,9H2,(H2,17,20,21)",NA,"DrugBank"
"P00918","CA2","DB08155","N-{2-[4-(AMINOSULFONYL)PHENYL]ETHYL}ACETAMIDE","InChI=1S/C10H14N2O3S/c1-8(13)12-7-6-9-2-4-10(5-3-9)16(11,14)15/h2-5H,6-7H2,1H3,(H,12,13)(H2,11,14,15)",NA,"DrugBank"
"P00918","CA2","DB00311","Ethoxzolamide","InChI=1S/C9H10N2O3S2/c1-2-14-6-3-4-7-8(5-6)15-9(11-7)16(10,12)13/h3-5H,2H2,1H3,(H2,10,12,13)","For use in the treatment of duodenal ulcers, as a diuretic, and in the treatment of glaucoma, and may also be useful in the treatment of seizures associated with epilepsy.","DrugBank"
"P00918","CA2","DB03221","AL7099A","InChI=1S/C14H17N3O5S3/c1-16-12-8-17(9-4-3-5-10(6-9)22-2)25(20,21)14-11(12)7-13(23-14)24(15,18)19/h3-7,12,16H,8H2,1-2H3,(H2,15,18,19)/t12-/m1/s1",NA,"DrugBank"
"P00918","CA2","DB08765","6-HYDROXY-1,3-BENZOTHIAZOLE-2-SULFONAMIDE","InChI=1S/C7H6N2O3S2/c8-14(11,12)7-9-5-2-1-4(10)3-6(5)13-7/h1-3,10H,(H2,8,11,12)",NA,"DrugBank"
"P00918","CA2","DB04549","4-(Aminosulfonyl)-N-[(2,3,4-Trifluorophenyl)Methyl]-Benzamide","InChI=1S/C14H11F3N2O3S/c15-11-6-3-9(12(16)13(11)17)7-19-14(20)8-1-4-10(5-2-8)23(18,21)22/h1-6H,7H2,(H,19,20)(H2,18,21,22)",NA,"DrugBank"
"P00918","CA2","DB00695","Furosemide","InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)","Furosemide is indicated for the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and renal disease, including the nephrotic syndrome, in adults and pediatric patients.[L7958] 
Oral furosemide is indicated alone for the management of mild to moderate hypertension or severe hypertension in combination with other antihypertensive medications.[L9659]
Intravenous furosemide is indicated as adjunctive therapy in acute pulmonary edema when a rapid onset of diuresis is desired.[L7958]
Subcutaneous furosemide is indicated for the treatment of congestion due to fluid overload in adults with NYHA Class II/III chronic heart failure. This drug formulation is not indicated for emergency situations or in patients with acute pulmonary edema.[L43408]","DrugBank"
"P00918","CA2","DB02221","4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide","InChI=1S/C14H11F3N2O3S/c15-9-5-12(16)11(13(17)6-9)7-19-14(20)8-1-3-10(4-2-8)23(18,21)22/h1-6H,7H2,(H,19,20)(H2,18,21,22)",NA,"DrugBank"
"P00918","CA2","DB07048","N-[(2R)-5-(aminosulfonyl)-2,3-dihydro-1H-inden-2-yl]-2-propylpentanamide","InChI=1S/C17H26N2O3S/c1-3-5-12(6-4-2)17(20)19-15-9-13-7-8-16(23(18,21)22)11-14(13)10-15/h7-8,11-12,15H,3-6,9-10H2,1-2H3,(H,19,20)(H2,18,21,22)/t15-/m1/s1",NA,"DrugBank"
"P00918","CA2","DB03844","N-(2,6-Diflouro-Benzyl)-4-Sulfamoyl-Benzamide","InChI=1S/C14H12F2N2O3S/c15-12-2-1-3-13(16)11(12)8-18-14(19)9-4-6-10(7-5-9)22(17,20)21/h1-7H,8H2,(H,18,19)(H2,17,20,21)",NA,"DrugBank"
"P00918","CA2","DB01144","Diclofenamide","InChI=1S/C6H6Cl2N2O4S2/c7-4-1-3(15(9,11)12)2-5(6(4)8)16(10,13)14/h1-2H,(H2,9,11,12)(H2,10,13,14)","For adjunctive treatment of: chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surgery is desired in order to lower intraocular pressure","DrugBank"
"P00918","CA2","DB07632","5-(2-chlorophenyl)-1,3,4-thiadiazole-2-sulfonamide","InChI=1S/C8H6ClN3O2S2/c9-6-4-2-1-3-5(6)7-11-12-8(15-7)16(10,13)14/h1-4H,(H2,10,13,14)",NA,"DrugBank"
"P00918","CA2","DB04371","AL6528","InChI=1S/C13H12N2O5S3/c1-20-11-4-2-3-10(8-11)15-6-5-9-7-12(22(14,16)17)21-13(9)23(15,18)19/h2-8H,1H3,(H2,14,16,17)",NA,"DrugBank"
"P00918","CA2","DB02429","4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide","InChI=1S/C14H13FN2O3S/c15-12-5-1-10(2-6-12)9-17-14(18)11-3-7-13(8-4-11)21(16,19)20/h1-8H,9H2,(H,17,18)(H2,16,19,20)",NA,"DrugBank"
"P00918","CA2","DB03975","Mercuribenzoic Acid","InChI=1S/C7H5O2.Hg/c8-7(9)6-4-2-1-3-5-6;/h2-5H,(H,8,9);",NA,"DrugBank"
"P00918","CA2","DB00774","Hydroflumethiazide","InChI=1S/C8H8F3N3O4S2/c9-8(10,11)4-1-5-7(2-6(4)19(12,15)16)20(17,18)14-3-13-5/h1-2,13-14H,3H2,(H2,12,15,16)","Used as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. Also used in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension.","DrugBank"
"P00918","CA2","DB03270","2,6-Difluorobenzenesulfonamide","InChI=1S/C6H5F2NO2S/c7-4-2-1-3-5(8)6(4)12(9,10)11/h1-3H,(H2,9,10,11)",NA,"DrugBank"
"P00918","CA2","DB04203","3-Mercuri-4-Aminobenzenesulfonamide","InChI=1S/C6H7N2O2S.Hg/c7-5-1-3-6(4-2-5)11(8,9)10;/h1,3-4H,7H2,(H2,8,9,10);",NA,"DrugBank"
"P00918","CA2","DB01748","N-Benzyl-4-Sulfamoyl-Benzamide","InChI=1S/C14H14N2O3S/c15-20(18,19)13-8-6-12(7-9-13)14(17)16-10-11-4-2-1-3-5-11/h1-9H,10H2,(H,16,17)(H2,15,18,19)",NA,"DrugBank"
"P00918","CA2","DB04763","1-N-(4-SULFAMOYLPHENYL-ETHYL)-2,4,6-TRIMETHYLPYRIDINIUM","InChI=1S/C16H21N2O2S/c1-12-10-13(2)18(14(3)11-12)9-8-15-4-6-16(7-5-15)21(17,19)20/h4-7,10-11H,8-9H2,1-3H3,(H2,17,19,20)/q+1",NA,"DrugBank"
"P00918","CA2","DB00580","Valdecoxib","InChI=1S/C16H14N2O3S/c1-11-15(12-7-9-14(10-8-12)22(17,19)20)16(18-21-11)13-5-3-2-4-6-13/h2-10H,1H3,(H2,17,19,20)","For the treatment of osteoarthritis and dysmenorrhoea","DrugBank"
"P00918","CA2","DB01942","Formic acid","InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",NA,"DrugBank"
"P00918","CA2","DB03598","Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]","InChI=1S/C18H21N3O6S3/c1-26-16-4-2-3-14(11-16)21-15(12-20-5-7-27-8-6-20)9-13-10-17(29(19,22)23)28-18(13)30(21,24)25/h2-4,9-11H,5-8,12H2,1H3,(H2,19,22,23)",NA,"DrugBank"
"P00918","CA2","DB01964","AL5424","InChI=1S/C13H14N2O6S3/c1-21-9-4-2-8(3-5-9)15-7-11(16)10-6-12(23(14,17)18)22-13(10)24(15,19)20/h2-6,11,16H,7H2,1H3,(H2,14,17,18)/t11-/m0/s1",NA,"DrugBank"
"P00918","CA2","DB03596","N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide","InChI=1S/C19H21N3O3S/c1-2-13(15-5-8-18-16(11-15)9-10-21-18)12-22-19(23)14-3-6-17(7-4-14)26(20,24)25/h3-11,13,21H,2,12H2,1H3,(H,22,23)(H2,20,24,25)/t13-/m1/s1",NA,"DrugBank"
"P00918","CA2","DB02479","(R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide","InChI=1S/C19H21N3O3S/c1-14(13-22-11-10-15-4-2-3-5-18(15)22)12-21-19(23)16-6-8-17(9-7-16)26(20,24)25/h2-11,14H,12-13H2,1H3,(H,21,23)(H2,20,24,25)/t14-/m1/s1",NA,"DrugBank"
"P00918","CA2","DB02986","N-(2-Thienylmethyl)-2,5-Thiophenedisulfonamide","InChI=1S/C9H10N2O4S4/c10-18(12,13)8-3-4-9(17-8)19(14,15)11-6-7-2-1-5-16-7/h1-5,11H,6H2,(H2,10,12,13)",NA,"DrugBank"
"P00918","CA2","DB06891","5-{[(4-AMINO-3-CHLORO-5-FLUOROPHENYL)SULFONYL]AMINO}-1,3,4-THIADIAZOLE-2-SULFONAMIDE","InChI=1S/C8H7ClFN5O4S3/c9-4-1-3(2-5(10)6(4)11)22(18,19)15-7-13-14-8(20-7)21(12,16)17/h1-2H,11H2,(H,13,15)(H2,12,16,17)",NA,"DrugBank"
"P00918","CA2","DB00391","Sulpiride","InChI=1S/C15H23N3O4S/c1-3-18-8-4-5-11(18)10-17-15(19)13-9-12(23(16,20)21)6-7-14(13)22-2/h6-7,9,11H,3-5,8,10H2,1-2H3,(H,17,19)(H2,16,20,21)","Sulpiride is indicated for the treatment of acute and chronic schizophrenia.[L31933]","DrugBank"
"P00918","CA2","DB03039","4-(Aminosulfonyl)-N-[(2,5-Difluorophenyl)Methyl]-Benzamide","InChI=1S/C14H12F2N2O3S/c15-11-3-6-13(16)10(7-11)8-18-14(19)9-1-4-12(5-2-9)22(17,20)21/h1-7H,8H2,(H,18,19)(H2,17,20,21)",NA,"DrugBank"
"P00918","CA2","DB03333","(4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester","InChI=1S/C13H14N2O3S3/c14-21(16,17)12-3-1-11(2-4-12)15-13(19)18-7-5-10-6-8-20-9-10/h1-4,6,8-9H,5,7H2,(H,15,19)(H2,14,16,17)",NA,"DrugBank"
"P00918","CA2","DB07050","5-[(phenylsulfonyl)amino]-1,3,4-thiadiazole-2-sulfonamide","InChI=1S/C8H8N4O4S3/c9-18(13,14)8-11-10-7(17-8)12-19(15,16)6-4-2-1-3-5-6/h1-5H,(H,10,12)(H2,9,13,14)",NA,"DrugBank"
"P00918","CA2","DB08046","2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide","InChI=1S/C14H11ClN2O4S/c15-11-6-5-8(7-12(11)22(16,20)21)14(19)10-4-2-1-3-9(10)13(18)17-14/h1-7,19H,(H,17,18)(H2,16,20,21)/t14-/m0/s1",NA,"DrugBank"
"P00918","CA2","DB00232","Methyclothiazide","InChI=1S/C9H11Cl2N3O4S2/c1-14-9(4-10)13-6-2-5(11)7(19(12,15)16)3-8(6)20(14,17)18/h2-3,9,13H,4H2,1H3,(H2,12,15,16)","For use in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension. Also used as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy.","DrugBank"
"P00918","CA2","DB08157","ETHYL 3-[4-(AMINOSULFONYL)PHENYL]PROPANOATE","InChI=1S/C11H15NO4S/c1-2-16-11(13)8-5-9-3-6-10(7-4-9)17(12,14)15/h3-4,6-7H,2,5,8H2,1H3,(H2,12,14,15)",NA,"DrugBank"
"P00918","CA2","DB02602","AL7182","InChI=1S/C13H14N2O5S3/c1-20-11-4-2-3-10(8-11)15-6-5-9-7-12(22(14,16)17)21-13(9)23(15,18)19/h2-4,7-8H,5-6H2,1H3,(H2,14,16,17)",NA,"DrugBank"
"P00918","CA2","DB03262","Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]","InChI=1S/C17H19N3O6S3/c18-28(22,23)16-9-12-8-14(11-19-4-6-26-7-5-19)20(29(24,25)17(12)27-16)13-2-1-3-15(21)10-13/h1-3,8-10,21H,4-7,11H2,(H2,18,22,23)",NA,"DrugBank"
"P00918","CA2","DB08329","Sulthiame","InChI=1S/C10H14N2O4S2/c11-18(15,16)10-5-3-9(4-6-10)12-7-1-2-8-17(12,13)14/h3-6H,1-2,7-8H2,(H2,11,15,16)",NA,"DrugBank"
"P00918","CA2","DB01671","p-Hydroxymercuribenzoic acid","InChI=1S/C7H5O2.Hg.H2O/c8-7(9)6-4-2-1-3-5-6;;/h2-5H,(H,8,9);;1H2/q;+1;/p-1",NA,"DrugBank"
"P00918","CA2","DB00606","Cyclothiazide","InChI=1S/C14H16ClN3O4S2/c15-10-5-11-13(6-12(10)23(16,19)20)24(21,22)18-14(17-11)9-4-7-1-2-8(9)3-7/h1-2,5-9,14,17-18H,3-4H2,(H2,16,19,20)","Cyclothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.","DrugBank"
"P00918","CA2","DB08418","(4aS,4bR,10bS,12aS)-12a-methyl-1,3-dioxo-2-(pyridin-3-ylmethyl)-1,2,3,4,4a,4b,5,6,10b,11,12,12a-dodecahydronaphtho[2,1-f]isoquinolin-8-yl sulfamate","InChI=1S/C24H27N3O5S/c1-24-9-8-19-18-7-5-17(32-33(25,30)31)11-16(18)4-6-20(19)21(24)12-22(28)27(23(24)29)14-15-3-2-10-26-13-15/h2-3,5,7,10-11,13,19-21H,4,6,8-9,12,14H2,1H3,(H2,25,30,31)/t19-,20-,21+,24+/m1/s1",NA,"DrugBank"
"P00918","CA2","DB07742","N-(2,3-DIFLUORO-BENZYL)-4-SULFAMOYL-BENZAMIDE","InChI=1S/C14H12F2N2O3S/c15-12-3-1-2-10(13(12)16)8-18-14(19)9-4-6-11(7-5-9)22(17,20)21/h1-7H,8H2,(H,18,19)(H2,17,20,21)",NA,"DrugBank"
"P00918","CA2","DB03385","4-Methylimidazole","InChI=1S/C4H6N2/c1-4-2-5-3-6-4/h2-3H,1H3,(H,5,6)",NA,"DrugBank"
"P00918","CA2","DB03697","4-Sulfonamide-[1-(4-Aminobutane)]Benzamide","InChI=1S/C11H17N3O3S/c12-7-1-2-8-14-11(15)9-3-5-10(6-4-9)18(13,16)17/h3-6H,1-2,7-8,12H2,(H,14,15)(H2,13,16,17)",NA,"DrugBank"
"P00918","CA2","DB08659","2-(hydrazinocarbonyl)-3-phenyl-1H-indole-5-sulfonamide","InChI=1S/C15H14N4O3S/c16-19-15(20)14-13(9-4-2-1-3-5-9)11-8-10(23(17,21)22)6-7-12(11)18-14/h1-8,18H,16H2,(H,19,20)(H2,17,21,22)",NA,"DrugBank"
"P00918","CA2","DB07363","THIOPHENE-2,5-DISULFONIC ACID 2-AMIDE-5-(4-METHYL-BENZYLAMIDE)","InChI=1S/C12H14N2O4S3/c1-9-2-4-10(5-3-9)8-14-21(17,18)12-7-6-11(19-12)20(13,15)16/h2-7,14H,8H2,1H3,(H2,13,15,16)",NA,"DrugBank"
"P00918","CA2","DB04002","4-Sulfonamide-[4-(Thiomethylaminobutane)]Benzamide","InChI=1S/C12H19N3O3S2/c13-20(17,18)11-5-3-10(4-6-11)12(16)15-8-2-1-7-14-9-19/h3-6,14,19H,1-2,7-9H2,(H,15,16)(H2,13,17,18)",NA,"DrugBank"
"P00918","CA2","DB00869","Dorzolamide","InChI=1S/C10H16N2O4S3/c1-3-12-8-4-6(2)18(13,14)10-7(8)5-9(17-10)19(11,15)16/h5-6,8,12H,3-4H2,1-2H3,(H2,11,15,16)/t6-,8-/m0/s1","Dorzolamide is indicated for the management of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.[L11377] It can also be used in combination with [timolol] for the same indication in patients who are insufficiently responsive to ophthalmic beta-blockers.[L11380]
Its pre-operative use was also investigated to prevent elevated intraocular pressure after neodynium yttrium aluminum garnet laser posterior capsulotomy.[A190183]","DrugBank"
"P00918","CA2","DB01784","4-Flourobenzenesulfonamide","InChI=1S/C6H6FNO2S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H2,8,9,10)",NA,"DrugBank"
"P00918","CA2","DB08156","3-[4-(AMINOSULFONYL)PHENYL]PROPANOIC ACID","InChI=1S/C9H11NO4S/c10-15(13,14)8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5H,3,6H2,(H,11,12)(H2,10,13,14)",NA,"DrugBank"
"P00918","CA2","DB03950","(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide","InChI=1S/C19H21N3O3S/c1-14(13-22-11-10-15-4-2-3-5-18(15)22)12-21-19(23)16-6-8-17(9-7-16)26(20,24)25/h2-11,14H,12-13H2,1H3,(H,21,23)(H2,20,24,25)/t14-/m0/s1",NA,"DrugBank"
"P00918","CA2","DB08083","2-(1,3-thiazol-4-yl)-1H-benzimidazole-5-sulfonamide","InChI=1S/C10H8N4O2S2/c11-18(15,16)6-1-2-7-8(3-6)14-10(13-7)9-4-17-5-12-9/h1-5H,(H,13,14)(H2,11,15,16)",NA,"DrugBank"
"P00918","CA2","DB02679","Cyanamide","InChI=1S/CH2N2/c2-1-3/h2H2",NA,"DrugBank"
"P00918","CA2","DB08165","indane-5-sulfonamide","InChI=1S/C9H11NO2S/c10-13(11,12)9-5-4-7-2-1-3-8(7)6-9/h4-6H,1-3H2,(H2,10,11,12)",NA,"DrugBank"
"P00918","CA2","DB07710","PHENYLALANYLAMINODI(ETHYLOXY)ETHYL BENZENESULFONAMIDEAMINOCARBONYLBENZENESULFONAMIDE","InChI=1S/C22H30N4O6S/c23-20(16-17-4-2-1-3-5-17)22(28)26-11-13-32-15-14-31-12-10-25-21(27)18-6-8-19(9-7-18)33(24,29)30/h1-9,20H,10-16,23H2,(H,25,27)(H,26,28)(H2,24,29,30)/t20-/m0/s1",NA,"DrugBank"
"P00918","CA2","DB01021","Trichlormethiazide","InChI=1S/C8H8Cl3N3O4S2/c9-3-1-4-6(2-5(3)19(12,15)16)20(17,18)14-8(13-4)7(10)11/h1-2,7-8,13-14H,(H2,12,15,16)","Used in the treatment of oedema (including that associated with heart failure) and hypertension.","DrugBank"
"P00918","CA2","DB02087","3,5-Difluorobenzenesulfonamide","InChI=1S/C6H5F2NO2S/c7-4-1-5(8)3-6(2-4)12(9,10)11/h1-3H,(H2,9,10,11)",NA,"DrugBank"
"P00918","CA2","DB03877","AL-4623","InChI=1S/C11H19N3O5S3/c1-3-13-9-7-14(4-5-19-2)22(17,18)11-8(9)6-10(20-11)21(12,15)16/h6,9,13H,3-5,7H2,1-2H3,(H2,12,15,16)/t9-/m0/s1",NA,"DrugBank"
"P00918","CA2","DB04089","AL5300","InChI=1S/C11H12N2O5S4/c12-21(15,16)10-4-8-9(14)6-13(5-7-2-1-3-19-7)22(17,18)11(8)20-10/h1-4,9,14H,5-6H2,(H2,12,15,16)/t9-/m0/s1",NA,"DrugBank"
"P00918","CA2","DB08301","N-({[4-(AMINOSULFONYL)PHENYL]AMINO}CARBONYL)-4-METHYLBENZENESULFONAMIDE","InChI=1S/C14H15N3O5S2/c1-10-2-6-13(7-3-10)24(21,22)17-14(18)16-11-4-8-12(9-5-11)23(15,19)20/h2-9H,1H3,(H2,15,19,20)(H2,16,17,18)",NA,"DrugBank"
"P00918","CA2","DB02220","AL7089A","InChI=1S/C14H17N3O5S3/c1-16-12-8-17(9-4-3-5-10(6-9)22-2)25(20,21)14-11(12)7-13(23-14)24(15,18)19/h3-7,12,16H,8H2,1-2H3,(H2,15,18,19)/t12-/m0/s1",NA,"DrugBank"
"P00918","CA2","DB08202","4-({[(4-METHYLPIPERAZIN-1-YL)AMINO]CARBONOTHIOYL}AMINO)BENZENESULFONAMIDE","InChI=1S/C12H19N5O2S2/c1-16-6-8-17(9-7-16)15-12(20)14-10-2-4-11(5-3-10)21(13,18)19/h2-5H,6-9H2,1H3,(H2,13,18,19)(H2,14,15,20)",NA,"DrugBank"
"P00918","CA2","DB02894","Sulfamic Acid 2,3-O-(1-Methylethylidene)-4,5-O-Sulfonyl-Beta-Fructopyranose Ester","InChI=1S/C9H15NO10S2/c1-8(2)17-7-6-5(18-22(13,14)19-6)3-15-9(7,20-8)4-16-21(10,11)12/h5-7H,3-4H2,1-2H3,(H2,10,11,12)/t5-,6-,7+,9+/m1/s1",NA,"DrugBank"
"P00918","CA2","DB00436","Bendroflumethiazide","InChI=1S/C15H14F3N3O4S2/c16-15(17,18)10-7-11-13(8-12(10)26(19,22)23)27(24,25)21-14(20-11)6-9-4-2-1-3-5-9/h1-5,7-8,14,20-21H,6H2,(H2,19,22,23)","For the treatment of high blood pressure and management of edema related to heart failure.","DrugBank"
"P00918","CA2","DB02866","Dansylamide","InChI=1S/C12H14N2O2S/c1-14(2)11-7-3-6-10-9(11)5-4-8-12(10)17(13,15)16/h3-8H,1-2H3,(H2,13,15,16)",NA,"DrugBank"
"P00918","CA2","DB03904","Urea","InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)","Urea is used topically for debridement and promotion of normal healing of hyperkeratotic surface lesions, particularly where healing is retarded by local infection, necrotic tissue, fibrinous or purulent debris or eschar. Urea is useful for the treatment of hyperkeratotic conditions such as dry, rough skin, dermatitis, psoriasis, xerosis, ichthyosis, eczema, keratosis, keratoderma, corns and calluses, as well as damaged, devitalized and ingrown nails.[L41484]","DrugBank"
"P00918","CA2","DB07476","N-[4-(AMINOSULFONYL)PHENYL]-2-MERCAPTOBENZAMIDE","InChI=1S/C13H12N2O3S2/c14-20(17,18)10-7-5-9(6-8-10)15-13(16)11-3-1-2-4-12(11)19/h1-8,19H,(H,15,16)(H2,14,17,18)",NA,"DrugBank"
"P00918","CA2","DB02861","4-(Aminosulfonyl)-N-[(3,4,5-Trifluorophenyl)Methyl]-Benzamide","InChI=1S/C14H11F3N2O3S/c15-11-5-8(6-12(16)13(11)17)7-19-14(20)9-1-3-10(4-2-9)23(18,21)22/h1-6H,7H2,(H,19,20)(H2,18,21,22)",NA,"DrugBank"
"P00918","CA2","DB01194","Brinzolamide","InChI=1S/C12H21N3O5S3/c1-3-14-10-8-15(5-4-6-20-2)23(18,19)12-9(10)7-11(21-12)22(13,16)17/h7,10,14H,3-6,8H2,1-2H3,(H2,13,16,17)/t10-/m0/s1","For the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.","DrugBank"
"P00918","CA2","DB04180","4-(Aminosulfonyl)-N-[(2,4-Difluorophenyl)Methyl]-Benzamide","InChI=1S/C14H12F2N2O3S/c15-11-4-1-10(13(16)7-11)8-18-14(19)9-2-5-12(6-3-9)22(17,20)21/h1-7H,8H2,(H,18,19)(H2,17,20,21)",NA,"DrugBank"
"P00918","CA2","DB09472","Sodium sulfate","InChI=1S/2Na.H2O4S/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2","indicated for bowel cleansing prior to colonoscopy or barium enema X-ray examination.","DrugBank"
"P00918","CA2","DB08416","(9BETA,13ALPHA,14BETA,17ALPHA)-2-METHOXYESTRA-1,3,5(10)-TRIENE-3,17-DIYL DISULFAMATE","InChI=1S/C19H28N2O7S2/c1-19-8-7-12-13(15(19)5-6-18(19)28-30(21,24)25)4-3-11-9-17(27-29(20,22)23)16(26-2)10-14(11)12/h9-10,12-13,15,18H,3-8H2,1-2H3,(H2,20,22,23)(H2,21,24,25)/t12-,13+,15-,18-,19-/m0/s1",NA,"DrugBank"
"P00918","CA2","DB03526","AL5927","InChI=1S/C12H14N2O5S3/c1-19-10-4-2-9(3-5-10)8-14-22(17,18)12-7-6-11(20-12)21(13,15)16/h2-7,14H,8H2,1H3,(H2,13,15,16)",NA,"DrugBank"
"P00918","CA2","DB00273","Topiramate","InChI=1S/C12H21NO8S/c1-10(2)18-7-5-16-12(6-17-22(13,14)15)9(8(7)19-10)20-11(3,4)21-12/h7-9H,5-6H2,1-4H3,(H2,13,14,15)/t7-,8-,9+,12+/m1/s1","Topiramate is indicated  for the following conditions: 1)Monotherapy for partial onset or primary generalized tonic-clonic seizures for patients 2 years of age and above 2)Adjunctive therapy for partial onset seizures or primary generalized tonic-clonic seizures for both adult and pediatric patients above 2 years old 3)Adjunctive therapy for seizures associated with Lennox-Gastaut syndrome in patients above 2 years of age 4)Prophylaxis of migraine in children 12 years of age and older and adults.[L10544]
Topiramate is also used off-label as an adjunct therapy for weight management[L10550] and for mood disorders.[A188312]","DrugBank"
